USER ID,Income,Age,Age Interval,Customer_Days,Estado_Civil,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Kidhome,Teenhome,Recency,MntWines,Wines Inverval,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,AcceptedCmpOverall,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Z_CostContact,Z_Revenue,MntRegularProds,MntTotal,,,,,,
1468,"R$ 87.679,00",32,30-40,2496,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,62,"R$ 1.259,00",1251-R$1500,172,815,97,148,33,1,7,11,10,4,0,1,3,1,0,1,1,0,3,11,"R$ 2.458,00","R$ 2.491,00",,,,,,
1160,"R$ 90.638,00",29,20-30,2295,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,29,"R$ 1.156,00",1001-R$1250,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,0,3,11,"R$ 2.333,00","R$ 2.429,00",,,,,Objetivo,Ajudar o marketing a melhorar os resultados da próxima campanha
1548,"R$ 90.638,00",29,20-30,2295,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,29,"R$ 1.156,00",1001-R$1250,120,915,94,144,96,1,3,4,10,1,0,1,1,0,0,1,0,0,3,11,"R$ 2.333,00","R$ 2.429,00",,CLIENTE,,,  ,
968,"R$ 75.759,00",51,50-60,2406,Casado,0,1,0,0,0,0,0,1,0,0,0,0,46,"R$ 1.394,00",1251-R$1500,22,708,89,91,182,1,9,7,9,5,0,1,3,1,0,1,1,0,3,11,"R$ 2.122,00","R$ 2.304,00",,2205,,,,
1434,"R$ 93.790,00",50,40-50,2296,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,16,"R$ 1.302,00",1251-R$1500,68,731,89,114,45,0,6,7,12,2,0,1,3,0,1,1,1,0,3,11,"R$ 2.259,00","R$ 2.304,00",,20%,441,,,Caracteristica Cliente
1033,"R$ 69.098,00",71,70-80,2657,Casado,0,1,0,0,0,0,0,0,0,1,0,0,82,"R$ 1.315,00",1251-R$1500,22,780,145,0,178,1,7,8,9,5,0,0,0,0,0,0,0,0,3,11,"R$ 2.084,00","R$ 2.262,00",,80%,1764,,,Caracteristica produto
1577,"R$ 90.226,00",64,60-70,2800,Casado,0,1,0,0,0,0,0,0,1,0,0,0,26,"R$ 1.083,00",1001-R$1250,108,649,253,151,108,1,4,7,12,2,0,0,1,0,0,0,1,0,3,11,"R$ 2.136,00","R$ 2.244,00",,100%,2205,,,Caracteristica Compras
1724,"R$ 80.360,00",71,70-80,2642,Casado,0,1,0,0,0,0,0,0,0,1,0,0,56,"R$ 1.493,00",1251-R$1500,86,454,112,43,43,2,4,4,5,2,0,0,3,0,1,1,1,0,3,11,"R$ 2.145,00","R$ 2.188,00",,,,,,Caracteristica de Marketing
1967,"R$ 91.712,00",73,70-80,2414,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,47,"R$ 1.276,00",1251-R$1500,24,746,94,29,48,0,9,7,11,3,0,1,1,0,0,1,0,0,3,11,"R$ 2.121,00","R$ 2.169,00",,,,,,Caracteristica Interesses
72,"R$ 75.825,00",44,40-50,2784,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,40,"R$ 1.032,00",1001-R$1250,105,779,137,105,51,0,5,8,9,4,0,1,1,1,0,0,0,0,3,11,"R$ 2.107,00","R$ 2.158,00",,,,,,
