,,,Age Interval,COUNT de USER ID,Percentual USER ID
,,,,0,
,,,20-30,20,5%
,,,30-40,76,17%
,,,40-50,117,27%
,,,50-60,94,21%
,,,60-70,96,22%
,,,70-80,38,9%
,,,Total geral,441,100%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Estado_Civil,COUNT de USER ID,Percentual USER ID
,,,Casado,169,38%
,,,Divorciado,42,10%
,,,Juntos,111,25%
,,,Solteiro,103,23%
,,,Viúvo,16,4%
,,,Total geral,441,100%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Wines Interval ,Count de user ID,Percentual USER ID
,,,0-R$250,5,1%
,,,251-R$500,69,16%
,,,501-R$750,116,26%
,,,751-R$1000,140,32%
,,,1001-R$1250,81,18%
,,,1251-R$1500,30,7%
,,,Total geral,441,100%
