Income,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,AcceptedCmpOverall,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Z_CostContact,Z_Revenue,MntRegularProds,MntTotal,,,
"R$ 58.138,00",63,2822,0,0,1,0,0,0,0,1,0,0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,0,0,0,0,0,0,3,11,"R$ 1.441,00","R$ 1.529,00",,,
"R$ 46.344,00",66,2272,0,0,1,0,0,0,0,1,0,0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0,3,11,"R$ 15,00","R$ 21,00",,Objetivo,Ajudar o marketing a melhorar os resultados da próxima campanha
"R$ 71.613,00",55,2471,0,0,0,1,0,0,0,1,0,0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,3,11,"R$ 692,00","R$ 734,00",,  ,
"R$ 26.646,00",36,2298,0,0,0,1,0,0,0,1,0,0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11,"R$ 43,00","R$ 48,00",,,
"R$ 58.293,00",39,2320,0,1,0,0,0,0,0,0,0,1,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0,3,11,"R$ 392,00","R$ 407,00",,,Caracteristica Cliente
"R$ 62.513,00",53,2452,0,0,0,1,0,0,0,0,1,0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0,3,11,"R$ 688,00","R$ 702,00",,,Caracteristica produto
"R$ 55.635,00",49,2752,1,0,0,0,0,0,0,1,0,0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0,3,11,"R$ 536,00","R$ 563,00",,,Caracteristica Compras
"R$ 33.454,00",35,2576,0,1,0,0,0,0,0,0,0,1,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,3,11,"R$ 123,00","R$ 146,00",,,Caracteristica de Marketing
"R$ 30.351,00",46,2547,0,0,0,1,0,0,0,0,0,1,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,0,0,0,0,0,0,3,11,"R$ 42,00","R$ 44,00",,,Caracteristica Interesses
"R$ 5.648,00",70,2267,0,0,0,1,0,0,0,0,0,1,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,1,0,0,0,0,3,11,"R$ 23,00","R$ 36,00",,,
